Gene,IG Score Before Training,IG Score After Training,Difference
MSLN,0.23190972,0.23195629,4.656613e-05
AKT2,0.20637628,0.20642272,4.643202e-05
NOTCH3,0.30575535,0.30580163,4.6283007e-05
SERPING1,0.27910003,0.27914628,4.6253204e-05
THBS2,0.2830238,0.28306976,4.595518e-05
AKNA,0.27070025,0.27074587,4.5627356e-05
PARP12,0.25741014,0.25745574,4.5597553e-05
FILIP1L,0.27867016,0.2787157,4.553795e-05
NFE2L1,0.24903582,0.24908121,4.5388937e-05
ENAH,0.22628218,0.22632714,4.4956803e-05
CFI,0.28361908,0.28366393,4.4852495e-05
ITGA1,0.3055711,0.3056159,4.479289e-05
PECAM1,0.30473655,0.30478117,4.4614077e-05
HERC5,0.27382427,0.27386883,4.4554472e-05
TAP2,0.18809241,0.18813655,4.413724e-05
HIST1H4C,0.2725241,0.27256823,4.413724e-05
SSR4,0.2150308,0.21507442,4.36157e-05
PDZRN3,0.2534686,0.2535121,4.351139e-05
PDGFRA,0.2724037,0.27244714,4.3451786e-05
DDX60L,0.2542335,0.25427672,4.3213367e-05
FSTL1,0.3888219,0.38886505,4.3153763e-05
ZC3HAV1,0.22869536,0.22873807,4.2706728e-05
COL14A1,0.2733555,0.273398,4.249811e-05
MS4A6A,0.26721898,0.26726124,4.2259693e-05
RBP1,0.26894423,0.2689863,4.208088e-05
ISG20,0.2514534,0.25149533,4.1931868e-05
USP18,0.27474457,0.27478614,4.157424e-05
PCOLCE,0.27723378,0.2772753,4.1514635e-05
VMP1,0.18717128,0.18721272,4.144013e-05
FXYD5,0.7653931,0.76543367,4.0590763e-05
DDX60,0.25879326,0.2588336,4.0322542e-05
LRP1,0.3012506,0.30129054,3.9935112e-05
UBA7,0.25279787,0.25283766,3.97861e-05
LTBP2,0.276854,0.27689356,3.954768e-05
IKZF1,0.29422098,0.29426044,3.9458275e-05
NR2F1,0.26937494,0.2694142,3.924966e-05
KLHDC8A,0.2714669,0.27150586,3.8951635e-05
APCDD1,0.783708,0.7837467,3.874302e-05
EGR1,0.12736246,0.12740086,3.8400292e-05
FUS,0.23477207,0.23481026,3.8191676e-05
CAV1,0.2731851,0.27322328,3.8176775e-05
COL16A1,0.28441116,0.28444922,3.8057566e-05
GBP4,0.23647772,0.23651569,3.796816e-05
OPTN,0.18853569,0.18857333,3.7640333e-05
HNRNPC,0.25396267,0.2540003,3.7640333e-05
KIF1A,0.26196197,0.2619994,3.7431717e-05
IRF7,0.26319546,0.26323265,3.71933e-05
CDHR1,0.2724205,0.27245757,3.707409e-05
CADPS,0.17932573,0.17936267,3.693998e-05
NKD2,0.26510218,0.26513904,3.6865473e-05
GALNT3,0.24993227,0.24996904,3.6761165e-05
LAMB1,0.3240254,0.3240618,3.6418438e-05
TOP2A,0.31797263,0.31800893,3.629923e-05
HNRNPDL,0.23101299,0.23104909,3.6105514e-05
TSPAN14,0.27069676,0.2707323,3.555417e-05
ATP13A1,0.2565072,0.25654238,3.5196543e-05
LCP1,0.23539045,0.2354251,3.46452e-05
LSM8,0.2205665,0.22060102,3.452599e-05
BTN3A2,0.275542,0.2755765,3.451109e-05
PARP9,0.2615424,0.26157683,3.4421682e-05
ID3,0.27578935,0.27582368,3.4332275e-05
COX6B1,0.22422259,0.22425668,3.4093857e-05
MAPKAPK2,0.22709526,0.22712933,3.4064054e-05
