Epoch,Train Loss,Val Loss,Val AUROC
1,0.7026521716704655,0.7107305632443808,0.5365273559481543
2,0.6993607460791679,0.7065747348204517,0.5375561449287762
3,0.6981189303413992,0.6974030670237024,0.5383539376310048
4,0.7001227941719232,0.692878277188373,0.53916884116867
5,0.6975425587789447,0.7073450858676815,0.5407066775035292
6,0.7006435542571835,0.7054220834340527,0.5421910424776489
7,0.7003305615184048,0.6956978009430058,0.5433888009582067
8,0.6984604996614604,0.6915499379987431,0.5458099841724773
9,0.6986099933309196,0.6924213927312376,0.5469649655644436
10,0.6994523624491005,0.6963178451329993,0.5482140565513111
11,0.6978556690089189,0.6932171398875878,0.5491808187534756
12,0.6961938808603985,0.6930390888557316,0.5496492278735509
13,0.6980213653882698,0.6904037446245905,0.5495208966077769
14,0.6967706534127702,0.7061437648849133,0.5501219147024853
15,0.6973880194507522,0.6910739435651556,0.5507849595756513
16,0.6957113561239052,0.6915813479206555,0.5513538948539163
17,0.6953940164619962,0.6903990180748818,0.5515613637335843
18,0.6949153566175448,0.6897380650351681,0.5521730761004406
19,0.6934496253662786,0.6894950942206653,0.5524767934294392
20,0.6948138044308665,0.6903739627662587,0.5533387517645549
21,0.6944523996630159,0.6886460600187762,0.5532104204987809
22,0.6940623156908082,0.6885232690263312,0.5535676091885187
23,0.6947185204259043,0.6919027758914411,0.5539932412200026
24,0.6921948270760725,0.6934402008707545,0.5544552337767892
25,0.6939164537746467,0.6884073579323698,0.5540274628908757
26,0.6914291069341076,0.6881887200822998,0.5539611584035591
27,0.692207791681036,0.6901390453282409,0.554530093681824
28,0.6870526639558788,0.6885371567544671,0.5543632630363178
29,0.6921766331943863,0.6898319844191175,0.554891560080421
30,0.6908485143649868,0.689220223040344,0.554955725713308
31,0.6909130445539026,0.6935392281785993,0.5550904735423707
