Gene,IG Score Before Training,IG Score After Training,Difference
FAM118A,0.24004613,0.24037686,0.00033073127
CDK5RAP3,0.2978643,0.29819256,0.00032827258
STK24,0.20586196,0.20618099,0.00031903386
EGR1,0.12736246,0.12767859,0.00031612813
PCYT1A,0.32151437,0.32182133,0.00030696392
IER2,0.26413926,0.26444557,0.00030630827
GBP2,0.23611136,0.23641331,0.00030195713
TRABD,0.26294065,0.26324132,0.00030067563
C1S,0.35322803,0.35352522,0.00029718876
CAPG,0.26709354,0.26739073,0.00029718876
LRRK2,0.27505958,0.27535614,0.0002965629
NCOR2,0.23952234,0.23981854,0.00029620528
EPAS1,0.28400755,0.2842974,0.0002898574
SCGB3A2,0.34415486,0.34444466,0.00028979778
STAT1,0.054762498,0.05505048,0.00028798357
LGMN,0.19731747,0.1976047,0.00028723478
EFHD2,0.37952927,0.37981522,0.00028595328
CHMP1B,0.3132389,0.31352454,0.00028565526
RASSF4,0.26878792,0.26907256,0.00028464198
QKI,0.27058277,0.270866,0.00028324127
IFI44L,0.28888336,0.28916502,0.00028166175
IFIT3,0.25550663,0.25578696,0.00028032064
MMP2,0.34286815,0.34314844,0.00028029084
SOCS3,0.22076897,0.22104867,0.0002796948
ISG15,0.789699,0.7899787,0.000279665
WDFY1,0.25297424,0.25324965,0.00027540326
EVL,0.2496187,0.24989204,0.0002733469
WIPF1,0.32528412,0.32555172,0.00026759505
ARHGDIB,0.2491551,0.24941878,0.00026367605
PTMS,0.17878301,0.17904659,0.00026357174
TACC3,0.28088924,0.2811509,0.0002616644
KCTD12,0.27757764,0.2778388,0.00026115775
S100A4,0.36214313,0.36240384,0.00026071072
XBP1,0.56940067,0.5696606,0.00025993586
DNM2,0.24186715,0.24212515,0.0002579987
TIMP2,0.51558554,0.51584315,0.00025761127
PLEC,0.2502666,0.25052318,0.0002565682
MS4A6A,0.26721898,0.26747507,0.00025609136
ZFP36L1,0.23520571,0.2354599,0.000254184
CLU,0.82366127,0.8239116,0.0002503395
CD38,0.25694075,0.2571908,0.00025004148
OBSCN,0.31214353,0.31239346,0.00024992228
TGM2,0.30939066,0.3096383,0.0002476275
APOL2,0.20007955,0.20032611,0.0002465695
CORO1A,0.28335562,0.28360116,0.00024554133
XAF1,0.27481344,0.27505794,0.00024449825
TRIM38,0.26065072,0.26089478,0.00024405122
SRSF1,0.285793,0.28603616,0.00024315715
SYNE2,0.21432288,0.21456583,0.00024294853
NUCKS1,0.3138837,0.31412607,0.00024238229
IFI44,0.2990398,0.2992822,0.00024238229
TMED9,0.20235044,0.20259218,0.00024174154
LUM,0.2845147,0.28475627,0.00024157763
IKZF1,0.29422098,0.29446253,0.00024154782
CTSS,0.66473275,0.6649714,0.000238657
PTPN1,0.22491676,0.22515522,0.00023846328
ARRB2,0.2610168,0.26125446,0.00023767352
CFB,0.45216975,0.45240667,0.00023692846
AIF1,0.39326638,0.3934992,0.00023281574
MAFB,0.2723849,0.27261737,0.00023245811
STX4,0.2494589,0.24968557,0.00022667646
GBP5,0.25884047,0.2590641,0.00022363663
SLC8A1,0.28274515,0.28296876,0.00022360682
LCP1,0.23539045,0.23561388,0.00022342801
VIM,0.97765666,0.97787994,0.000223279
NDC80,0.28168494,0.281907,0.0002220571
LAPTM5,0.26453406,0.26475284,0.00021877885
CHST11,0.26721993,0.26743862,0.00021868944
PLEKHO1,0.2725215,0.27273992,0.00021842122
IDO1,0.26839033,0.2686079,0.00021758676
DPYD,0.17958204,0.17979941,0.00021736324
COMT,0.2885557,0.28877124,0.0002155304
STAB1,0.29520342,0.2954174,0.00021398067
MYH14,0.20118453,0.20139825,0.00021372736
CD4,0.26552507,0.26573834,0.00021326542
JUND,0.26957193,0.26978374,0.0002118051
HMGN1,0.24155277,0.24176279,0.00021001697
CEP192,0.26183018,0.26203957,0.00020939112
OAS3,0.26421803,0.26442677,0.00020873547
IFITM3,0.52012205,0.5203303,0.00020825863
BGN,0.3409781,0.34118423,0.00020614266
AKNA,0.27070025,0.27090615,0.00020590425
CCL18,0.27515864,0.27536392,0.0002052784
PNN,0.1996289,0.19983302,0.0002041161
LSP1,0.2916919,0.2918912,0.00019928813
TGOLN2,0.20551492,0.20571253,0.0001976043
MAPK12,0.25078785,0.2509852,0.00019735098
DTX3L,0.20273352,0.20293078,0.00019726157
PILRB,0.19529517,0.19549003,0.00019486248
SERPINA1,0.29883274,0.299026,0.00019326806
CYBA,0.24438588,0.24457912,0.00019323826
SP110,0.26684615,0.26703933,0.00019317865
SDF4,0.25965124,0.25984374,0.0001924932
ARPC1B,0.26107213,0.26126328,0.0001911521
IL4I1,0.27006823,0.27025798,0.00018975139
ISG20,0.2514534,0.25164285,0.00018945336
SOGA1,0.24862154,0.24881026,0.0001887232
EIF2AK2,0.21593419,0.21612267,0.00018848479
MBNL1,0.23300752,0.2331952,0.00018768013
MARCH7,0.24667376,0.24685933,0.00018556416
CSNK1G2,0.2474125,0.24759735,0.0001848489
WDR33,0.22527295,0.2254576,0.00018464029
ZNFX1,0.25854206,0.25872615,0.00018408895
TNFAIP2,0.26534852,0.26553234,0.00018382072
KDM2A,0.25610656,0.2562903,0.00018373132
IFI35,0.26578265,0.26596498,0.00018233061
HGS,0.21393144,0.21411361,0.0001821667
MDK,0.31948632,0.31966722,0.0001809001
FCER1G,0.2536087,0.25378945,0.00018075109
REC8,0.23217477,0.23235494,0.00018016994
EHBP1L1,0.2471346,0.24731398,0.00017938018
LMNB1,0.26683342,0.26701254,0.00017911196
LUC7L,0.19659644,0.19677535,0.00017890334
ALOX5,0.27087113,0.27104998,0.00017884374
ABCA1,0.27453488,0.27471355,0.00017866492
FOXE1,0.27599552,0.27617303,0.00017750263
PSMC4,0.2548164,0.2549935,0.0001770854
IFIH1,0.24859725,0.24877395,0.00017669797
NFKB2,0.2599082,0.26008454,0.00017634034
TNK2,0.26471803,0.2648943,0.00017628074
STK4,0.23899852,0.23917408,0.00017556548
SAMD9L,0.2767263,0.27689877,0.00017246604
CLEC2D,0.2910743,0.29124627,0.0001719594
FOXM1,0.2693614,0.2695324,0.00017100573
PTGDS,0.20782536,0.20799555,0.00017018616
CEBPB,0.31442583,0.31459537,0.00016954541
RUNX1,0.2690249,0.26919204,0.00016713142
ITPR2,0.28187156,0.28203705,0.0001654923
ZEB2,0.25994286,0.26010764,0.00016477704
MAST4,0.24590199,0.24606633,0.0001643449
LENG8,0.071490295,0.07165398,0.0001636818
PABPC1L,0.21752112,0.21768431,0.00016319752
RGS1,0.26185164,0.26201475,0.00016310811
NAPSA,0.2722091,0.27237028,0.00016117096
OS9,0.21587513,0.21603367,0.00015853345
TYROBP,0.26663363,0.2667914,0.0001577735
FCGR3A,0.2693471,0.269504,0.00015690923
ANKRD13D,0.25610822,0.2562649,0.00015667081
GRN,0.19527824,0.19543454,0.00015629828
NR1H3,0.2567837,0.25693917,0.00015547872
PRPF40A,0.22838312,0.22853802,0.00015489757
CTSE,0.27249387,0.27264825,0.00015437603
OAS2,0.2969828,0.29713714,0.00015434623
CLINT1,0.23631464,0.23646812,0.00015348196
PSME2,0.2756776,0.27583078,0.00015318394
PRPF3,0.25703084,0.25718355,0.0001527071
TCF25,0.15676479,0.15691666,0.00015187263
CCND1,0.7565686,0.7567202,0.00015157461
RNASE1,0.45238867,0.45253837,0.00014969707
CHKB,0.23663968,0.23678923,0.00014954805
EFNB2,0.26880828,0.2689577,0.00014942884
CYBB,0.26012892,0.26027754,0.00014862418
CLIP1,0.20683952,0.20698793,0.00014841557
ADAM15,0.2621343,0.26228225,0.00014793873
CASP4,0.25548488,0.2556328,0.00014790893
GSDMB,0.2618653,0.2620121,0.00014680624
MKI67,0.23823744,0.23838402,0.00014658272
GNB4,0.27635777,0.27650413,0.0001463592
MAT2A,0.102879375,0.103025526,0.00014615059
MGP,0.18598856,0.18613364,0.0001450777
BANF1,0.23130006,0.23144491,0.00014485419
TCIRG1,0.2850315,0.2851758,0.00014430285
KRT7,0.33026794,0.3304122,0.00014427304
SAFB,0.2315593,0.23170282,0.00014351308
DSE,0.27730286,0.2774463,0.00014343858
BAG1,0.17538497,0.17552811,0.00014314055
SPC24,0.26586097,0.26600316,0.00014218688
AHCYL2,0.19479086,0.19493288,0.00014202297
CD74,0.9922161,0.9923569,0.00014078617
PTK2B,0.26873112,0.26887146,0.00014033914
MICALL2,0.2631927,0.2633327,0.00013998151
GBP4,0.23647772,0.2366165,0.00013878942
AGER,0.26909807,0.26923642,0.00013834238
BTN3A2,0.275542,0.27567914,0.00013715029
LMF2,0.24194063,0.24207762,0.00013698637
WNK1,0.23799095,0.23812772,0.00013677776
ZBTB7A,0.22692119,0.22705744,0.00013625622
GSDMD,0.26292494,0.26306102,0.0001360774
SAMD9,0.3262596,0.32639545,0.00013583899
CLASRP,0.2480923,0.24822779,0.00013549626
ACIN1,0.25108153,0.25121683,0.00013530254
LIMD2,0.3261642,0.32629943,0.00013524294
PPP1R10,0.22141148,0.22154626,0.000134781
DRAP1,0.14774461,0.14787927,0.0001346618
