Gene,IG Score Before Training,IG Score After Training
CT45A4,-1.0,-1.0
CT45A5,-1.0,-1.0
CT45A6,-1.0,-1.0
CT47A1,-1.0,-1.0
CT47A10,-1.0,-1.0
CT47A11,-1.0,-1.0
CT47A2,-1.0,-1.0
CT47A7,-1.0,-1.0
CT47A9,-1.0,-1.0
CT47B1,-1.0,-1.0
CTAG1B,-1.0,-1.0
CTAG2,-1.0,-1.0
CTAGE4,-1.0,-1.0
CTAGE6,-1.0,-1.0
CTAGE9,-1.0,-1.0
CTCFL,-1.0,-1.0
CTLA4,-1.0,-1.0
CTRL,-1.0,-1.0
CTSL2,-1.0,-1.0
CTSL3,-1.0,-1.0
CTU1,-1.0,-1.0
CTXN1,-1.0,-1.0
CTXN2,-1.0,-1.0
CUZD1,-1.0,-1.0
CXADRP2,-1.0,-1.0
CXADRP3,-1.0,-1.0
CXCL11,-1.0,-1.0
CXCL13,-1.0,-1.0
CXCL9,-1.0,-0.9999721050262451
CXCR2P1,-1.0,-1.0
CXCR3,-1.0,-1.0
CXorf22,-1.0,-1.0
CXorf27,-1.0,-1.0
CXorf30,-1.0,-1.0
CXorf48,-1.0,-1.0
CXorf49B,-1.0,-1.0
CXorf51,-1.0,-1.0
CXorf59,-1.0,-1.0
CXorf61,-1.0,-1.0
CXorf64,-1.0,-1.0
CXorf65,-1.0,-1.0
CYB5RL,-1.0,-1.0
CYCSP52,-1.0,-1.0
CYLC1,-1.0,-1.0
CYorf15B,-1.0,-1.0
CYP19A1,-1.0,-1.0
CYP26A1,-1.0,-1.0
CYP26C1,-1.0,-1.0
CYP27B1,-1.0,-1.0
CYP2D6,-1.0,-1.0
CYP2D7P1,-1.0,-1.0
CYP2W1,-1.0,-1.0
DAD1L,-1.0,-1.0
DAND5,-1.0,-1.0
DAZ4,-1.0,-1.0
DAZL,-1.0,-1.0
DBF4B,-1.0,-1.0
DBX1,-1.0,-1.0
DCAF4L1,-1.0,-1.0
DCAF4L2,-1.0,-1.0
DCAF8L1,-1.0,-1.0
DCAF8L2,-1.0,-1.0
DCLK3,-1.0,-1.0
DCLRE1B,-1.0,-1.0
DCST1,-1.0,-1.0
DCST2,-1.0,-1.0
DDI1,-1.0,-1.0
DDN,-1.0,-1.0
DDX11L2,-1.0,-1.0
DDX12,-1.0,-1.0
DDX26B,-1.0,-1.0
DDX4,-1.0,-1.0
DDX53,-1.0,-1.0
DEC1,-1.0,-1.0
DEFB103B,-1.0,-1.0
DEFB119,-1.0,-1.0
DEFB122,-1.0,-1.0
DEFB123,-1.0,-1.0
DEFB126,-1.0,-1.0
DEM1,-1.0,-1.0
DEPDC1,-1.0,-1.0
DEPDC1B,-1.0,-1.0
DEPDC4,-1.0,-1.0
DERL3,-1.0,-1.0
DFFB,-1.0,-1.0
DGAT2L6,-1.0,-1.0
DGCR10,-1.0,-1.0
DGCR5,-1.0,-1.0
DGCR9,-1.0,-1.0
DGKK,-1.0,-1.0
DHRS2,-1.0,-1.0
DHX40P1,-1.0,-1.0
DIAPH3,-1.0,-1.0
DIRC1,-1.0,-1.0
DISC1,-1.0,-1.0
DISC2,-1.0,-1.0
DISP2,-1.0,-1.0
DKFZp434J0226,-1.0,-1.0
DKFZP434K028,-1.0,-1.0
DKFZP434L187,-1.0,-1.0
DKFZp434L192,-1.0,-1.0
DKFZp686A1627,-1.0,-1.0
DKFZP686I15217,-1.0,-1.0
DKFZp686O24166,-1.0,-1.0
DKKL1,-1.0,-1.0
DLEU1,-1.0,-1.0
DLEU2,-1.0,-1.0
DLEU2L,-1.0,-1.0
DLEU7,-1.0,-1.0
DLGAP3,-1.0,-1.0
DLGAP5,-1.0,-1.0
DLK2,-1.0,-1.0
DLL3,-1.0,-1.0
DLX1,-1.0,-1.0
DLX2,-1.0,-1.0
DLX3,-1.0,-1.0
DLX4,-1.0,-1.0
DLX5,-1.0,-1.0
DLX6,-1.0,-1.0
DLX6AS,-1.0,-1.0
DMBX1,-1.0,-1.0
DMC1,-1.0,-1.0
DMP1,-1.0,-1.0
DMRT1,-1.0,-1.0
DMRT3,-1.0,-1.0
DMRTA2,-1.0,-1.0
DMRTB1,-1.0,-1.0
DMRTC2,-1.0,-1.0
DNA2,-1.0,-1.0
DNAH14,-1.0,-1.0
DNAH17,-1.0,-1.0
DNAH2,-1.0,-1.0
DNAH3,-1.0,-1.0
DNAJB13,-1.0,-1.0
DNAJB7,-1.0,-1.0
DNAJB8,-1.0,-1.0
DNAJC25-GNG10,-1.0,-1.0
DNAJC5B,-1.0,-1.0
DNASE1L2,-1.0,-1.0
DND1,-1.0,-1.0
DNLZ,-1.0,-1.0
DNM1P35,-1.0,-1.0
DNMT3B,-1.0,-1.0
DNTT,-1.0,-1.0
DOC2A,-1.0,-1.0
DONSON,-1.0,-1.0
DPEP3,-1.0,-1.0
DPF1,-1.0,-1.0
DPH3B,-1.0,-1.0
DPPA2,-1.0,-1.0
DPPA3,-1.0,-1.0
DPPA5,-1.0,-1.0
DPRX,-1.0,-1.0
DPRXP4,-1.0,-1.0
DPY19L2P1,-1.0,-1.0
DPY19L2P2,-1.0,-1.0
DPYSL4,-1.0,-1.0
DPYSL5,-1.0,-1.0
DQX1,-1.0,-1.0
DRD2,-1.0,-1.0
DRGX,-1.0,-1.0
DRP2,-1.0,-1.0
DSCC1,-1.0,-1.0
DSCR10,-1.0,-1.0
DSCR4,-1.0,-1.0
DSCR6,-1.0,-1.0
DSCR8,-1.0,-1.0
DSCR9,-1.0,-1.0
DSG4,-1.0,-1.0
DSPP,-1.0,-1.0
DTL,-1.0,-1.0
DUS4L,-1.0,-1.0
DUSP13,-1.0,-1.0
DUSP15,-1.0,-1.0
DUSP18,-1.0,-1.0
DUSP27,-1.0,-1.0
DUSP28,-1.0,-1.0
DUSP5P,-1.0,-1.0
DUSP9,-1.0,-1.0
DUX4,-1.0,-1.0
DVWA,-1.0,-1.0
DYSFIP1,-1.0,-1.0
DYTN,-1.0,-1.0
DYX1C1,-1.0,-1.0
E2F1,-1.0,-1.0
E2F2,-1.0,-1.0
E2F5,-1.0,-1.0
E2F7,-1.0,-1.0
E2F8,-1.0,-1.0
EBI3,-1.0,-1.0
ECE2,-1.0,-1.0
ECEL1,-1.0,-1.0
EDA2R,-1.0,-1.0
EDARADD,-1.0,-1.0
EFCAB10,-1.0,-1.0
EFCAB3,-1.0,-1.0
EFCAB4A,-1.0,-1.0
EFCAB4B,-1.0,-1.0
EFNA2,-1.0,-1.0
EFNA3,-1.0,-1.0
EFNA4,-1.0,-1.0
EGFL6,-1.0,-1.0
EGR4,-1.0,-1.0
EIF2C3,-1.0,-1.0
EIF3IP1,-1.0,-1.0
EIF4E1B,-1.0,-1.0
ELAVL2,-1.0,-1.0
ELFN1,-1.0,-1.0
ELFN2,-1.0,-1.0
ELL3,-1.0,-1.0
ELOVL2,-1.0,-1.0
ELOVL3,-1.0,-1.0
ELP2P,-1.0,-1.0
ELSPBP1,-1.0,-1.0
EME1,-1.0,-1.0
EME2,-1.0,-1.0
EMR1,-1.0,-1.0
EMR2,-1.0,-1.0
EMR4P,-1.0,-1.0
EN1,-1.0,-1.0
EN2,-1.0,-1.0
ENKUR,-1.0,-1.0
ENO3,-1.0,-1.0
ENTHD1,-1.0,-1.0
EOMES,-1.0,-1.0
EP400NL,-1.0,-1.0
EPHA10,-1.0,-1.0
EPHA8,-1.0,-1.0
EPHX3,-1.0,-1.0
EPHX4,-1.0,-1.0
EPOR,-1.0,-1.0
EPR1,-1.0,-1.0
EPYC,-1.0,-1.0
ERAS,-1.0,-1.0
ERCC6L,-1.0,-1.0
ERMN,-1.0,-1.0
ESCO2,-1.0,-1.0
ESM1,-1.0,-1.0
ESPL1,-1.0,-1.0
ESPNP,-1.0,-1.0
ESX1,-1.0,-1.0
ETV2,-1.0,-1.0
ETV4,-1.0,-1.0
ETV7,-1.0,-1.0
EVX1,-1.0,-1.0
EXO1,-1.0,-1.0
F2RL2,-1.0,-1.0
FABP5L3,-1.0,-1.0
FAM101A,-1.0,-1.0
FAM106A,-1.0,-1.0
FAM106C,-1.0,-1.0
FAM111B,-1.0,-1.0
FAM113B,-1.0,-1.0
FAM122C,-1.0,-1.0
FAM131C,-1.0,-1.0
FAM132A,-1.0,-1.0
FAM133A,-1.0,-1.0
FAM136B,-1.0,-1.0
FAM155B,-1.0,-1.0
FAM157A,-1.0,-1.0
FAM157B,-1.0,-1.0
FAM158A,-1.0,-1.0
FAM159A,-1.0,-1.0
FAM166A,-1.0,-1.0
FAM171A2,-1.0,-1.0
FAM173A,-1.0,-1.0
FAM178B,-1.0,-1.0
FAM182B,-1.0,-1.0
FAM183A,-1.0,-1.0
FAM183B,-1.0,-1.0
FAM186A,-1.0,-1.0
FAM186B,-1.0,-1.0
FAM194A,-1.0,-1.0
FAM197Y2,-1.0,-1.0
FAM19A3,-1.0,-1.0
FAM19A5,-1.0,-1.0
FAM22F,-1.0,-1.0
FAM22G,-1.0,-1.0
FAM24B,-1.0,-1.0
FAM26F,-1.0,-1.0
FAM27B,-1.0,-1.0
FAM27C,-1.0,-1.0
FAM27L,-1.0,-1.0
FAM40B,-1.0,-1.0
FAM41AY1,-1.0,-1.0
FAM41C,-1.0,-1.0
FAM47A,-1.0,-1.0
FAM47C,-1.0,-1.0
FAM53A,-1.0,-1.0
FAM54A,-1.0,-1.0
FAM57B,-1.0,-1.0
FAM58B,-1.0,-1.0
FAM64A,-1.0,-1.0
FAM66D,-1.0,-1.0
FAM71B,-1.0,-1.0
FAM71D,-1.0,-1.0
FAM71E1,-1.0,-1.0
FAM71E2,-1.0,-1.0
FAM71F1,-1.0,-1.0
FAM71F2,-1.0,-1.0
FAM72A,-1.0,-1.0
FAM72B,-1.0,-1.0
FAM72D,-1.0,-1.0
FAM75A2,-1.0,-1.0
FAM75A3,-1.0,-1.0
FAM75A5,-1.0,-1.0
FAM75C1,-1.0,-1.0
FAM78A,-1.0,-1.0
FAM81A,-1.0,-1.0
FAM83A,-1.0,-1.0
FAM83C,-1.0,-1.0
FAM83D,-1.0,-1.0
FAM86B2,-1.0,-1.0
FAM86C,-1.0,-1.0
FAM86D,-1.0,-1.0
FAM90A1,-1.0,-1.0
FAM90A7,-1.0,-1.0
FAM9A,-1.0,-1.0
FAM9C,-1.0,-1.0
FANCA,-1.0,-1.0
FANCB,-1.0,-1.0
FANCD2,-1.0,-1.0
FANCE,-1.0,-1.0
FANCM,-1.0,-1.0
FAP,-1.0,-1.0
FASLG,-1.0,-1.0
FASTKD3,-1.0,-1.0
FATE1,-1.0,-1.0
FBF1,-1.0,-1.0
FBLL1,-1.0,-1.0
FBN2,-1.0,-1.0
FBN3,-1.0,-1.0
FBXL16,-1.0,-1.0
FBXL8,-1.0,-1.0
FBXO22OS,-1.0,-1.0
FBXO24,-1.0,-1.0
FBXO39,-1.0,-1.0
FBXO41,-1.0,-1.0
FBXO43,-1.0,-1.0
FBXO47,-1.0,-1.0
FBXO5,-1.0,-1.0
FBXW10,-1.0,-1.0
FBXW12,-1.0,-1.0
FCGR1A,-1.0,-1.0
FCGR1B,-1.0,-1.0
FCGR1C,-1.0,-1.0
FCHO1,-1.0,-1.0
FCRLA,-1.0,-1.0
FCRLB,-1.0,-1.0
FDPSL2A,-1.0,-1.0
FDXACB1,-1.0,-1.0
FER1L4,-1.0,-1.0
FEZF1,-1.0,-1.0
FFAR2,-1.0,-1.0
FGF11,-1.0,-1.0
FGF17,-1.0,-1.0
FGF19,-1.0,-1.0
FGF20,-1.0,-1.0
FGF23,-1.0,-1.0
FGF3,-1.0,-1.0
FGF4,-1.0,-1.0
FGF8,-1.0,-1.0
FHAD1,-1.0,-1.0
FIBCD1,-1.0,-1.0
FIGNL1,-1.0,-1.0
FJX1,-1.0,-1.0
FKBP6,-1.0,-1.0
FKBP9L,-1.0,-1.0
FKBPL,-1.0,-1.0
FKSG29,-1.0,-1.0
FLJ10213,-1.0,-1.0
FLJ10661,-1.0,-1.0
FLJ12825,-1.0,-1.0
FLJ13224,-1.0,-1.0
FLJ14107,-1.0,-1.0
FLJ16779,-1.0,-1.0
FLJ22536,-1.0,-1.0
FLJ25363,-1.0,-1.0
FLJ25758,-1.0,-1.0
FLJ30679,-1.0,-1.0
FLJ36000,-1.0,-1.0
FLJ37201,-1.0,-1.0
FLJ39653,-1.0,-1.0
FLJ39739,-1.0,-1.0
FLJ40292,-1.0,-1.0
FLJ40434,-1.0,-1.0
FLJ40504,-1.0,-1.0
FLJ42393,-1.0,-1.0
FLJ42627,-1.0,-1.0
FLJ43860,-1.0,-1.0
FLJ43950,-1.0,-1.0
FLJ44054,-1.0,-1.0
FLJ44606,-1.0,-1.0
FLJ45079,-1.0,-1.0
FLJ45244,-1.0,-1.0
FLJ45445,-1.0,-1.0
FLJ46111,-1.0,-1.0
FLJ46321,-1.0,-1.0
FMR1NB,-1.0,-1.0
FNDC1,-1.0,-1.0
FNDC7,-1.0,-1.0
FNDC8,-1.0,-1.0
FOXB1,-1.0,-1.0
FOXB2,-1.0,-1.0
FOXD1,-1.0,-1.0
FOXD2,-1.0,-1.0
FOXD4,-1.0,-1.0
FOXD4L1,-1.0,-1.0
FOXD4L2,-1.0,-1.0
FOXD4L3,-1.0,-1.0
FOXD4L5,-1.0,-1.0
FOXD4L6,-1.0,-1.0
FOXE1,-1.0,-1.0
FOXE3,-1.0,-1.0
FOXG1,-1.0,-1.0
FOXH1,-1.0,-1.0
FOXI3,-1.0,-1.0
FOXJ1,-1.0,-1.0
FOXL1,-1.0,-1.0
FOXL2,-1.0,-1.0
FOXM1,-1.0,-1.0
FOXN4,-1.0,-1.0
FOXP3,-1.0,-1.0
FOXR1,-1.0,-1.0
FOXR2,-1.0,-1.0
FOXS1,-1.0,-1.0
FRS3,-1.0,-1.0
FSD1,-1.0,-1.0
FTHL17,-1.0,-1.0
FUT5,-1.0,-1.0
FUT7,-1.0,-1.0
FXYD7,-1.0,-1.0
FZD2,-1.0,-1.0
FZD9,-1.0,-1.0
GAB4,-1.0,-1.0
GABRA3,-1.0,-1.0
GABRD,-1.0,-1.0
GABRE,-1.0,-1.0
GABRG3,-1.0,-1.0
GABRQ,-1.0,-1.0
GABRR1,-1.0,-1.0
GABRR2,-1.0,-1.0
GABRR3,-1.0,-1.0
GAD1,-1.0,-1.0
GAD2,-1.0,-1.0
GAGE1,-1.0,-1.0
GAGE10,-1.0,-1.0
GAGE12D,-1.0,-1.0
GAGE12F,-1.0,-1.0
GAGE12J,-1.0,-1.0
GAGE13,-1.0,-1.0
GAGE2A,-1.0,-1.0
GAGE2B,-1.0,-1.0
GAGE2C,-1.0,-1.0
GAGE2D,-1.0,-1.0
GAGE2E,-1.0,-1.0
GAGE4,-1.0,-1.0
GAGE8,-1.0,-1.0
GAL3ST2,-1.0,-1.0
GAL3ST4,-1.0,-1.0
GALNT14,-1.0,-1.0
GALNT8,-1.0,-1.0
GALP,-1.0,-1.0
GALR2,-1.0,-1.0
GALR3,-1.0,-1.0
GAP43,-1.0,-1.0
GAPDHS,-1.0,-1.0
GAS2L3,-1.0,-1.0
GAST,-1.0,-1.0
GATC,-1.0,-1.0
GATSL1,-1.0,-1.0
GATSL2,-1.0,-1.0
GBGT1,-1.0,-1.0
GBP5,-1.0,-0.9999096989631653
GBX1,-1.0,-1.0
GBX2,-1.0,-1.0
GCM2,-1.0,-1.0
GCNT7,-1.0,-1.0
GDAP1L1,-1.0,-1.0
GDF1,-1.0,-1.0
GDF9,-1.0,-1.0
GDPD2,-1.0,-1.0
GEMIN8P4,-1.0,-1.0
GEN1,-1.0,-1.0
GFAP,-1.0,-1.0
GFI1,-1.0,-1.0
GGN,-1.0,-1.0
GGNBP1,-1.0,-1.0
GH2,-1.0,-1.0
GHRH,-1.0,-1.0
GHRHR,-1.0,-1.0
GHRLOS,-1.0,-1.0
GINS1,-1.0,-1.0
GINS2,-1.0,-1.0
GINS3,-1.0,-1.0
GINS4,-1.0,-1.0
GIP,-1.0,-1.0
GJA10,-1.0,-1.0
GJA3,-1.0,-1.0
GJA9,-1.0,-1.0
GJB4,-1.0,-1.0
GJB7,-1.0,-1.0
GJD4,-1.0,-1.0
GK2,-1.0,-1.0
GLI4,-1.0,-1.0
GLRA1,-1.0,-1.0
GLRA3,-1.0,-1.0
GMEB1,-1.0,-1.0
GNASAS,-1.0,-1.0
GNAT2,-1.0,-1.0
GNAT3,-1.0,-1.0
GNB1L,-1.0,-1.0
GNG13,-1.0,-1.0
GNG3,-1.0,-1.0
GNG4,-1.0,-1.0
GNG8,-1.0,-1.0
GNRH1,-1.0,-1.0
GOLGA6L1,-1.0,-1.0
GOLGA6L10,-1.0,-1.0
GOLGA6L6,-1.0,-1.0
GOLGA6L9,-1.0,-1.0
GOLGA7B,-1.0,-1.0
GOLGA8C,-1.0,-1.0
GOLGA8DP,-1.0,-1.0
GOLGA8E,-1.0,-1.0
GOLGA8G,-1.0,-1.0
GP6,-1.0,-1.0
GPC2,-1.0,-1.0
GPR111,-1.0,-1.0
GPR114,-1.0,-1.0
GPR115,-1.0,-1.0
GPR139,-1.0,-1.0
GPR141,-1.0,-1.0
GPR143,-1.0,-1.0
GPR150,-1.0,-1.0
GPR151,-1.0,-1.0
GPR152,-1.0,-1.0
GPR156,-1.0,-1.0
GPR161,-1.0,-1.0
GPR172B,-1.0,-1.0
GPR173,-1.0,-1.0
GPR179,-1.0,-1.0
GPR19,-1.0,-1.0
GPR3,-1.0,-1.0
GPR32,-1.0,-1.0
GPR37,-1.0,-1.0
GPR37L1,-1.0,-1.0
GPR45,-1.0,-1.0
GPR50,-1.0,-1.0
GPR52,-1.0,-1.0
GPR61,-1.0,-1.0
GPR78,-1.0,-1.0
GPR82,-1.0,-1.0
GPR84,-1.0,-1.0
GPR85,-1.0,-1.0
GPR89C,-1.0,-1.0
GPRC5D,-1.0,-1.0
GPRIN1,-1.0,-1.0
GPX6,-1.0,-1.0
GRHL3,-1.0,-1.0
GRIN1,-1.0,-1.0
GRIN2C,-1.0,-1.0
GRIN2D,-1.0,-1.0
GRIN3B,-1.0,-1.0
GRK7,-1.0,-1.0
GRM2,-1.0,-1.0
GRM4,-1.0,-1.0
GRM8,-1.0,-1.0
GRP,-1.0,-1.0
GRPR,-1.0,-1.0
GSC,-1.0,-1.0
GSC2,-1.0,-1.0
GSDMA,-1.0,-1.0
GSDMC,-1.0,-1.0
GSG2,-1.0,-1.0
GSTTP1,-1.0,-1.0
GSTTP2,-1.0,-1.0
GSX1,-1.0,-1.0
GSX2,-1.0,-1.0
GTF2H2,-1.0,-1.0
GTF2H2B,-1.0,-1.0
GTPBP8,-1.0,-1.0
GTSE1,-1.0,-1.0
GTSF1,-1.0,-1.0
GTSF1L,-1.0,-1.0
GUCA1A,-1.0,-1.0
GUCY1B2,-1.0,-1.0
GUCY2D,-1.0,-1.0
GUCY2E,-1.0,-1.0
GUCY2F,-1.0,-1.0
GUCY2GP,-1.0,-1.0
GUSBL1,-1.0,-1.0
GUSBL2,-1.0,-1.0
GUSBP1,-1.0,-1.0
GUSBP3,-1.0,-1.0
GYLTL1B,-1.0,-1.0
GYPB,-1.0,-1.0
GZMA,-1.0,-1.0
H1FOO,-1.0,-1.0
H2AFB1,-1.0,-1.0
H2BFM,-1.0,-1.0
H2BFWT,-1.0,-1.0
H2BFXP,-1.0,-1.0
HAP1,-1.0,-1.0
HAPLN1,-1.0,-1.0
HAPLN3,-1.0,-1.0
HAR1B,-1.0,-1.0
HARBI1,-1.0,-1.0
HAUS8,-1.0,-1.0
HAVCR1,-1.0,-1.0
HBBP1,-1.0,-1.0
HBQ1,-1.0,-1.0
HCG26,-1.0,-1.0
HCG27,-1.0,-1.0
HCG9,-1.0,-1.0
HCN2,-1.0,-1.0
HCN3,-1.0,-1.0
HCN4,-1.0,-1.0
HCRT,-1.0,-1.0
HDGFL1,-1.0,-1.0
HELB,-1.0,-1.0
HELLS,-1.0,-1.0
HEPHL1,-1.0,-1.0
HERC2P4,-1.0,-1.0
HES5,-1.0,-1.0
HES7,-1.0,-1.0
HESRG,-1.0,-1.0
HESX1,-1.0,-1.0
HEXIM2,-1.0,-1.0
HGC6.3,-1.0,-1.0
HHIPL1,-1.0,-1.0
HHIPL2,-1.0,-1.0
HHLA1,-1.0,-1.0
HHLA3,-1.0,-1.0
HIATL2,-1.0,-1.0
HIC2,-1.0,-1.0
HIGD2B,-1.0,-1.0
HILS1,-1.0,-1.0
HIST1H1A,-1.0,-1.0
HIST1H1B,-1.0,-1.0000241994857788
HIST1H1D,-1.0,-1.0
HIST1H1E,-1.0,-1.0007296800613403
HIST1H1T,-1.0,-1.0
HIST1H2AB,-1.0,-1.0
HIST1H2AD,-1.0,-1.0
HIST1H2AE,-1.0,-1.0
HIST1H2AG,-1.0,-0.9999546408653259
HIST1H2AH,-1.0,-1.0
HIST1H2AJ,-1.0,-1.0
HIST1H2AK,-1.0,-1.0
HIST1H2AL,-1.0,-1.0
HIST1H2AM,-1.0,-1.0
HIST1H2BA,-1.0,-1.0
HIST1H2BB,-1.0,-1.0
HIST1H2BC,-1.0,-1.0
HIST1H2BE,-1.0,-1.0
HIST1H2BF,-1.0,-1.0
HIST1H2BG,-1.0,-1.0
HIST1H2BH,-1.0,-1.0
HIST1H2BI,-1.0,-1.0
HIST1H2BJ,-1.0,-1.0
HIST1H2BL,-1.0,-1.0
HIST1H2BM,-1.0,-1.0
HIST1H2BN,-1.0,-1.0
HIST1H2BO,-1.0,-1.0
HIST1H3A,-1.0,-1.0
HIST1H3B,-1.0,-1.0
HIST1H3C,-1.0,-1.0
HIST1H3D,-1.0,-1.0
HIST1H3E,-1.0,-1.0
HIST1H3F,-1.0,-1.0
HIST1H3G,-1.0,-1.0
HIST1H3H,-1.0,-1.0
HIST1H3I,-1.0,-1.0
HIST1H3J,-1.0,-1.0
HIST1H4A,-1.0,-1.0
HIST1H4B,-1.0,-1.0
HIST1H4C,-1.0,-1.0008127689361572
HIST1H4D,-1.0,-1.0002338886260986
HIST1H4E,-1.0,-1.0004897117614746
HIST1H4F,-1.0,-1.0
HIST1H4H,-1.0,-1.0
HIST1H4I,-1.0,-1.0
HIST1H4J,-1.0,-1.0
HIST1H4K,-1.0,-1.0
HIST1H4L,-1.0,-1.0
HIST2H2AB,-1.0,-1.0
HIST2H2AC,-1.0,-1.0
HIST2H2BF,-1.0,-1.0
HIST2H3C,-1.0,-1.0
HIST2H3D,-1.0,-1.0
HIST3H2A,-1.0,-1.0
HIST3H2BB,-1.0,-1.0
HIST3H3,-1.0,-1.0
HIST4H4,-1.0,-1.0
HJURP,-1.0,-1.0
HK3,-1.0,-1.0
HLA-DPB2,-1.0,-1.0
HLA-DQB2,-1.0,-1.0
HLA-G,-1.0,-1.0
HLA-L,-1.0,-1.0
HLX,-1.0,-1.0
HMGA2,-1.0,-1.0
HMGB3L1,-1.0,-1.0
HMGB4,-1.0,-1.0
HMHB1,-1.0,-1.0
HMMR,-1.0,-1.0
HMX1,-1.0,-1.0
HMX3,-1.0,-1.0
HNRNPA3P1,-1.0,-1.0
HNRNPCL1,-1.0,-1.0
HORMAD1,-1.0,-1.0
HOTAIR,-1.0,-1.0
HOXA1,-1.0,-1.0
HOXA11,-1.0,-1.0
HOXA11AS,-1.0,-1.0
HOXA13,-1.0,-1.0
HOXA9,-1.0,-1.0
HOXB1,-1.0,-1.0
HOXB3,-1.0,-1.0
HOXB5,-1.0,-1.0
HOXB8,-1.0,-1.0
HOXC10,-1.0,-1.0
HOXC11,-1.0,-1.0
HOXC12,-1.0,-1.0
HOXC13,-1.0,-1.0
HOXC4,-1.0,-1.0
HOXC5,-1.0,-1.0
HOXC6,-1.0,-1.0
HOXC8,-1.0,-1.0
HOXC9,-1.0,-1.0
HOXD10,-1.0,-1.0
HOXD11,-1.0,-1.0
HOXD12,-1.0,-1.0
HOXD13,-1.0,-1.0
HPCA,-1.0,-1.0
HPDL,-1.0,-1.0
HPSE,-1.0,-1.0
HRASLS,-1.0,-1.0
HRH3,-1.0,-1.0
HRK,-1.0,-1.0
HS3ST2,-1.0,-1.0
HSD17B1,-1.0,-1.0
HSD17B3,-1.0,-1.0
HSD17B7P2,-1.0,-1.0
HSD3B1,-1.0,-1.0
HSF2BP,-1.0,-1.0
HSP90AB2P,-1.0,-1.0
HSP90AB4P,-1.0,-1.0
HSP90B3P,-1.0,-1.0
HSPA7,-1.0,-1.0
HSPBAP1,-1.0,-1.0
HTR1D,-1.0,-1.0
HTR1F,-1.0,-1.0
HTR2C,-1.0,-1.0
HTR3A,-1.0,-1.0
HTR6,-1.0,-1.0
HTRA4,-1.0,-1.0
HUS1B,-1.0,-1.0
HYAL3,-1.0,-1.0
HYALP1,-1.0,-1.0
HYLS1,-1.0,-1.0
IBSP,-1.0,-1.0
ICAM5,-1.0,-1.0
ICOS,-1.0,-1.0
IDI2,-1.0,-1.0
IFIT1B,-1.0,-1.0
IFITM4P,-1.0,-1.0
IFITM5,-1.0,-1.0
IFNA1,-1.0,-1.0
IFNB1,-1.0,-1.0
IFNE,-1.0,-1.0
IFNG,-1.0,-1.0
IFNK,-1.0,-1.0
IGDCC3,-1.0,-1.0
IGF2AS,-1.0,-1.0
IGF2BP1,-1.0,-1.0
IGF2BP3,-1.0,-1.0
IGFBPL1,-1.0,-1.0
IGFL1,-1.0,-1.0
IGFL2,-1.0,-1.0
IGFL3,-1.0,-1.0
IGFL4,-1.0,-1.0
IGLL1,-1.0,-1.0
IGLL3,-1.0,-1.0
IGLON5,-1.0,-1.0
IL11,-1.0,-1.0
IL12B,-1.0,-1.0
IL12RB1,-1.0,-1.0
IL12RB2,-1.0,-1.0
IL17A,-1.0,-1.0
IL17C,-1.0,-1.0
IL1A,-1.0,-1.0
IL1F10,-1.0,-1.0
IL1F5,-1.0,-1.0
IL1F7,-1.0,-1.0
IL1F8,-1.0,-1.0
IL1F9,-1.0,-1.0
IL20,-1.0,-1.0
IL21R,-1.0,-1.0
IL22RA2,-1.0,-1.0
IL24,-1.0,-1.0
IL26,-1.0,-1.0
IL28A,-1.0,-1.0
IL28B,-1.0,-1.0
IL29,-1.0,-1.0
IL2RA,-1.0,-1.0
IL31,-1.0,-1.0
IL31RA,-1.0,-1.0
IL4,-1.0,-1.0
IL4I1,-1.0,-1.0
IL8,-1.0,-1.0
IL9R,-1.0,-1.0
INE1,-1.0,-1.0
INGX,-1.0,-1.0
INHA,-1.0,-1.0
INHBE,-1.0,-1.0
INS,-1.0,-1.0
INSL3,-1.0,-1.0
INSL4,-1.0,-1.0
INSL6,-1.0,-1.0
INSM1,-1.0,-1.0
INSM2,-1.0,-1.0
INTS4L1,-1.0,-1.0
INTS4L2,-1.0,-1.0
IQCC,-1.0,-1.0
IQCD,-1.0,-1.0
IQCF5,-1.0,-1.0
IQGAP3,-1.0,-1.0
IRGC,-1.0,-1.0
IRGM,-1.0,-1.0
IRX4,-1.0,-1.0
ISL2,-1.0,-1.0
ISM2,-1.0,-1.0
ISX,-1.0,-1.0
ITGA2B,-1.0,-1.0
ITGAD,-1.0,-1.0
ITIH5L,-1.0,-1.0
ITPKA,-1.0,-1.0
ITPRIPL1,-1.0,-1.0
IVL,-1.0,-1.0
JAKMIP1,-1.0,-1.0
JPH1,-1.0,-1.0
JPH3,-1.0,-1.0
JSRP1,-1.0,-1.0
KAAG1,-1.0,-1.0
KAL1,-1.0,-1.0
KATNAL2,-1.0,-1.0
KC6,-1.0,-1.0
KCNA7,-1.0,-1.0
KCNAB3,-1.0,-1.0
KCNC3,-1.0,-1.0
KCND1,-1.0,-1.0
KCNE1L,-1.0,-1.0
KCNF1,-1.0,-1.0
KCNG1,-1.0,-1.0
KCNG2,-1.0,-1.0
KCNG4,-1.0,-1.0
KCNH4,-1.0,-1.0
