Gene,IG Score Before Training,IG Score After Training
ATPBD4,-1.0,-1.0
ATXN3L,-1.0,-1.0
ATXN7L2,-1.0,-1.0
AURKA,-1.0,-1.0
AURKAPS1,-1.0,-1.0
AURKB,-1.0,-1.0
AVIL,-1.0,-1.0
AWAT1,-1.0,-1.0
AZU1,-1.0,-1.0
B3GAT2,-1.0,-1.0
B3GNT4,-1.0,-1.0
B3GNTL1,-1.0,-1.0
B4GALNT1,-1.0,-1.0
BAGE,-1.0,-1.0
BAI1,-1.0,-1.0
BAI2,-1.0,-1.0
BARHL1,-1.0,-1.0
BARHL2,-1.0,-1.0
BARX1,-1.0,-1.0
BATF2,-1.0,-1.0
BATF3,-1.0,-1.0
BCAR4,-1.0,-1.0
BCDIN3D,-1.0,-1.0
BCL2L14,-1.0,-1.0
BCL8,-1.0,-1.0
BCORL2,-1.0,-1.0
BEAN,-1.0,-1.0
BEND3,-1.0,-1.0
BEST2,-1.0,-1.0
BEST3,-1.0,-1.0
BEST4,-1.0,-1.0
BGLAP,-1.0,-1.0
BIRC5,-1.0,-1.0
BIRC7,-1.0,-1.0
BLID,-1.0,-1.0
BLM,-1.0,-1.0
BMP8A,-1.0,-1.0
BMP8B,-1.0,-1.0
BMS1P4,-1.0,-1.0
BNC1,-1.0,-1.0
BOLL,-1.0,-1.0
BPESC1,-1.0,-1.0
BPIL2,-1.0,-1.0
BRCA1,-1.0,-1.0
BRCA2,-1.0,-1.0
BRD7P3,-1.0,-1.0
BRDT,-1.0,-1.0
BREA2,-1.0,-1.0
BRIP1,-1.0,-1.0
BRSK1,-1.0,-1.0
BRSK2,-1.0,-1.0
BSN,-1.0,-1.0
BSX,-1.0,-1.0
BTBD16,-1.0,-1.0
BTBD17,-1.0,-1.0
BTBD18,-1.0,-1.0
BTG4,-1.0,-1.0
BTN1A1,-1.0,-1.0
BTN2A3,-1.0,-1.0
BUB1,-1.0,-1.0
BUB1B,-1.0,-1.0
C10orf110,-1.0,-1.0
C10orf111,-1.0,-1.0
C10orf113,-1.0,-1.0
C10orf12,-1.0,-1.0
C10orf122,-1.0,-1.0
C10orf131,-1.0,-1.0
C10orf35,-1.0,-1.0
C10orf40,-1.0,-1.0
C10orf55,-1.0,-1.0
C10orf62,-1.0,-1.0
C10orf75,-1.0,-1.0
C10orf78,-1.0,-1.0
C10orf81,-1.0,-1.0
C10orf88,-1.0,-1.0
C10orf91,-1.0,-1.0
C10orf95,-1.0,-1.0
C10orf96,-1.0,-1.0
C10orf99,-1.0,-1.0
C11orf20,-1.0,-1.0
C11orf35,-1.0,-1.0
C11orf36,-1.0,-1.0
C11orf41,-1.0,-1.0
C11orf82,-1.0,-1.0
C11orf94,-1.0,-1.0
C12orf12,-1.0,-1.0
C12orf24,-1.0,-1.0
C12orf34,-1.0,-1.0
C12orf36,-1.0,-1.0
C12orf40,-1.0,-1.0
C12orf45,-1.0,-1.0
C12orf48,-1.0,-1.0
C12orf50,-1.0,-1.0
