Gene,IG Score After Training
CYP2J2,0.00024344791017938405
C1orf87,0.0002427285216981545
NFIA-AS2,0.2689414322376251
NFIA,0.00023747695377096534
KANK4,0.00024318693613167852
DOCK7,0.00023867115669418126
LINC00466,0.2689414322376251
EFCAB7,0.00024131652025971562
CACHD1,0.00024410663172602654
RAVER2,0.00023748804233036935
UBE2U,0.00024283754464704543
DNAJC6,0.0002420204400550574
LEPR,0.00024474470410495996
WDR78,0.00024312015739269555
MIER1,0.00023404700914397836
SGIP1,0.00024114586994983256
IL12RB2,0.00024682117509655654
GNG12,0.00023879703076090664
IL23R,0.00024215456505771726
LRRC7,0.00024235551245510578
LOC101927244,0.2689414322376251
PTGER3,0.0002415840426692739
ZRANB2-AS2,0.2689414322376251
NEGR1,0.0002410638116998598
NEGR1-IT1,0.2689414322376251
LRRIQ3,0.00024267412663903087
ERICH3-AS1,0.2689414322376251
CRYZ,0.00024266995023936033
ERICH3,0.00024390144972130656
MSH4,0.0002418502263026312
ACADM,0.0002381079102633521
ST6GALNAC5,0.0002441380638629198
AK5,0.00024118357396218926
PIGK,0.0002447384176775813
USP33,0.00023898720974102616
DNAJB4,0.00023198749113362283
MGC27382,0.2689414322376251
GIPC2,0.00024339872470591217
PTGFR,0.000242978596361354
MIGA1,0.00023776717716827989
ADGRL4,0.00024364390992559493
LOC101927412,0.2689414322376251
LOC101927434,0.2689414322376251
LOC101927587,0.2689414322376251
DNASE2B,0.0002435133937979117
PRKACB,0.00024021304852794856
SSX2IP,0.00024032255169004202
SPATA1,0.00024133356055244803
WDR63,0.00024377263616770506
SYDE2,0.0002411985187791288
DDAH1,0.000238041888223961
LOC105378828,0.2689414322376251
SEP15,0.2689414322376251
ODF2L,0.00024282527738250792
CLCA3P,0.2689414322376251
LINC01140,0.2689414322376251
PKN2-AS1,0.2689414322376251
PKN2,0.00023628107737749815
GTF2B,0.0002912831259891391
GBP5,0.00024894491070881486
LRRC8D,0.00025159207871183753
LRRC8C,0.00024159325403161347
LOC105378853,0.2689414322376251
ZNF644,0.0002351634029764682
TGFBR3,0.00024034272064454854
BRDT,0.00024207422393374145
BTBD8,0.00024041514552664012
HFM1,0.00024274122552014887
EVI5,0.00023796767345629632
CCDC18,0.0002414048940408975
FAM69A,0.2689414322376251
BCAR3,0.00024309352738782763
ABCA4,0.00024195470905397087
