Gene,IG Score Before Training
C1orf141,0.2689414322376251
PKP1,0.2689414322376251
RERE,0.2689414322376251
CSMD2,0.2689414322376251
HIVEP3,0.2689414322376251
GLMN,0.2689414322376251
SLC44A5,0.2689414322376251
TTLL7,0.2689414322376251
MAN1A2,0.2689414322376251
MPZL1,0.2689414322376251
RFWD2,0.2689414322376251
C1orf21,0.2689414322376251
LINC01032,0.2689414322376251
ANXA9,0.2689414322376251
HSD11B1,0.2689414322376251
LOC101930114,0.2689414322376251
SDCCAG8,0.2689414322376251
AGRN,0.2689414322376251
PRDM16,0.2689414322376251
PRKCZ,0.2689414322376251
ACOT7,0.2689414322376251
CAMTA1,0.2689414322376251
DISP3,0.2689414322376251
KAZN,0.2689414322376251
PLEKHM2,0.2689414322376251
DHRS3,0.2689414322376251
PEX14,0.2689414322376251
EIF4G3,0.2689414322376251
KDM1A,0.2689414322376251
ACTL8,0.2689414322376251
ALDH4A1,0.2689414322376251
PLA2G2E,0.2689414322376251
WDTC1,0.2689414322376251
EPHA10,0.2689414322376251
TRIT1,0.2689414322376251
PIK3R3,0.2689414322376251
LOC101929626,0.2689414322376251
SLC5A9,0.2689414322376251
ZSWIM5,0.2689414322376251
AGBL4,0.2689414322376251
PDZK1IP1,0.2689414322376251
EPS15,0.2689414322376251
ZCCHC11,0.2689414322376251
DAB1,0.2689414322376251
LOC101926964,0.2689414322376251
PATJ,0.2689414322376251
JAK1,0.2689414322376251
PDE4B,0.2689414322376251
ROR1,0.2689414322376251
GNG12-AS1,0.2689414322376251
WLS,0.2689414322376251
FPGT-TNNI3K,0.2689414322376251
TNNI3K,0.2689414322376251
ST6GALNAC3,0.2689414322376251
ZZZ3,0.2689414322376251
ADGRL2,0.2689414322376251
IFI44L,0.2689414322376251
COL24A1,0.2689414322376251
HS2ST1,0.2689414322376251
MCOLN2,0.2689414322376251
CCDC18-AS1,0.2689414322376251
DPYD,0.2689414322376251
MIR548N,0.2689414322376251
LINC01397,0.2689414322376251
ATP1A1,0.2689414322376251
CEPT1,0.2689414322376251
SRGAP2-AS1,0.2689414322376251
RNF115,0.2689414322376251
HYDIN2,0.2689414322376251
PDE4DIP,0.2689414322376251
OTUD7B,0.2689414322376251
MUC1,0.2689414322376251
PMF1-BGLAP,0.2689414322376251
NUP210L,0.2689414322376251
PMF1,0.2689414322376251
PBX1,0.2689414322376251
UHMK1,0.2689414322376251
ALDH9A1,0.2689414322376251
SCYL3,0.2689414322376251
TNN,0.2689414322376251
DNM3,0.2689414322376251
SMG7,0.2689414322376251
BRINP2,0.2689414322376251
RASAL2,0.2689414322376251
SOAT1,0.2689414322376251
