Gene,IG Score Before Training,IG Score After Training,Difference
TAPBP,0.2312202,0.23129441,7.420778e-05
SEMA4D,0.27190506,0.2719789,7.3850155e-05
CSF1,0.25920147,0.25927353,7.2062016e-05
PADI2,0.2677204,0.26779243,7.203221e-05
CTSH,0.2313097,0.23138072,7.1018934e-05
IDO1,0.26839033,0.268461,7.066131e-05
TRIB1,0.19102994,0.19110043,7.049739e-05
SAMD9L,0.2767263,0.27679646,7.015467e-05
GPNMB,0.7241017,0.72417146,6.9737434e-05
HBA1,0.26911613,0.26918522,6.908178e-05
ETS1,0.26215217,0.26222107,6.890297e-05
RNF144B,0.2661386,0.2662075,6.887317e-05
CCL4,0.26338077,0.26344907,6.830692e-05
TGFBI,0.22362165,0.22368929,6.763637e-05
STAB1,0.29520342,0.2952708,6.738305e-05
FPR3,0.2748284,0.27489525,6.684661e-05
SH3BGRL3,0.22620383,0.2262704,6.657839e-05
VOPP1,0.24060667,0.24067289,6.622076e-05
IL2RB,0.2706834,0.2707486,6.517768e-05
GADD45A,0.25575954,0.25582433,6.479025e-05
IL2RG,0.23339961,0.2334632,6.3583255e-05
CAPG,0.26709354,0.26715675,6.3210726e-05
MAFB,0.2723849,0.27244797,6.3061714e-05
ANXA2,0.84027565,0.84033865,6.300211e-05
HIST1H3G,0.26983538,0.2698982,6.2823296e-05
CAP1,0.26360598,0.26366878,6.279349e-05
PRF1,0.26934284,0.26940504,6.219745e-05
SLA,0.26660064,0.26666242,6.1780214e-05
GBP4,0.23647772,0.23653911,6.1392784e-05
SERPINE1,0.27444473,0.274505,6.0260296e-05
LCP1,0.23539045,0.2354502,5.9738755e-05
MPEG1,0.2712735,0.27133262,5.9127808e-05
GRN,0.19527824,0.19533716,5.891919e-05
ZFAND5,0.2883462,0.288405,5.8799982e-05
TMEM173,0.26025194,0.2603107,5.877018e-05
HCLS1,0.27891988,0.27897802,5.814433e-05
FSTL1,0.3888219,0.3888792,5.7309866e-05
PRDM1,0.25512367,0.25518033,5.6654215e-05
USP54,0.25955734,0.25961378,5.64456e-05
LAG3,0.26467043,0.26472667,5.6236982e-05
IL4I1,0.27006823,0.27012435,5.6117773e-05
FST,0.097146794,0.097202875,5.608052e-05
RAP1A,0.2244482,0.22450411,5.5909157e-05
IRF1,0.22878827,0.228844,5.5730343e-05
TFPI2,0.26070368,0.26075935,5.567074e-05
ARHGAP9,0.26714888,0.2672045,5.5611134e-05
IVNS1ABP,0.18961647,0.18967095,5.4478645e-05
GFOD1,0.25924733,0.25930145,5.4121017e-05
TAGLN2,0.2991907,0.29924476,5.4061413e-05
CXCL10,0.24170023,0.2417543,5.4061413e-05
DRAM1,0.2692028,0.26925614,5.3346157e-05
CISH,0.26549995,0.26555303,5.3077936e-05
PPP1R18,0.25784343,0.25789627,5.2839518e-05
DOCK8,0.27154544,0.27159813,5.2690506e-05
SLCO2B1,0.26538104,0.2654337,5.2660704e-05
NEDD9,0.27176806,0.27181956,5.1498413e-05
LTB,0.27551767,0.27556875,5.108118e-05
MX1,0.33795598,0.338007,5.1021576e-05
SLC20A1,0.25109556,0.25114658,5.1021576e-05
IGFBP3,0.28868,0.288731,5.1021576e-05
MGAT1,0.26274484,0.26279563,5.0783157e-05
NFKBIA,0.14600861,0.14605933,5.0723553e-05
UBB,0.14308998,0.14314064,5.0663948e-05
TNFAIP3,0.18460073,0.18465094,5.0216913e-05
PSMB9,0.23011476,0.23016429,4.953146e-05
ANGPTL4,0.27073032,0.27077907,4.87566e-05
CD3G,0.26908827,0.26913658,4.8309565e-05
ITGB6,0.26885518,0.2689032,4.801154e-05
TXN,0.2634275,0.2634752,4.7713518e-05
