Gene,IG Score Before Training,IG Score After Training,Difference
MYL12B,0.28681076,0.28689688,8.612871e-05
SH3BP4,0.28912172,0.28920737,8.5651875e-05
TAP2,0.18809241,0.1881777,8.529425e-05
UBE2C,0.24385259,0.24393725,8.46684e-05
LSP1,0.2916919,0.29177496,8.305907e-05
TFDP1,0.2688721,0.268955,8.288026e-05
HIST1H2BB,0.27090207,0.2709849,8.2820654e-05
HDGF,0.1891898,0.1892719,8.20905e-05
COPZ1,0.24561371,0.24569546,8.174777e-05
NPNT,0.16295113,0.1630328,8.1673265e-05
HNRNPR,0.26294103,0.26302138,8.034706e-05
NRG1,0.26320046,0.26328057,8.010864e-05
FMOD,0.2727257,0.27280575,8.004904e-05
SUMO1,0.27669075,0.27676907,7.83205e-05
MCM7,0.24028933,0.24036746,7.812679e-05
CYSLTR1,0.26908767,0.26916534,7.766485e-05
ACTG2,0.6935906,0.6936677,7.712841e-05
MATR3,0.2761353,0.27621058,7.5280666e-05
PRLR,0.23096754,0.23104222,7.468462e-05
AP1S2,0.26088232,0.26095682,7.4505806e-05
HIST1H2BN,0.2653165,0.26539063,7.414818e-05
KRT18,0.28752178,0.2875958,7.402897e-05
MAT2A,0.102879375,0.10295317,7.3798e-05
PSMB4,0.23640639,0.23647995,7.356703e-05
GAL3ST2,0.2691649,0.26923826,7.337332e-05
PEBP1,0.16319926,0.16327219,7.292628e-05
ARHGEF6,0.2663038,0.2663756,7.1793795e-05
IKZF1,0.29422098,0.2942923,7.131696e-05
TAGLN2,0.2991907,0.29926112,7.042289e-05
PPM1G,0.24049522,0.24056546,7.0244074e-05
PSMB3,0.24574293,0.24581246,6.952882e-05
HDLBP,0.22003458,0.22010386,6.92755e-05
ABCA12,0.27028427,0.27035338,6.9111586e-05
GBP4,0.23647772,0.23654664,6.891787e-05
SMARCA1,0.23663007,0.23669858,6.851554e-05
PSMB8,0.19712205,0.19719021,6.815791e-05
IFT22,0.26314804,0.26321596,6.791949e-05
THRA,0.22441338,0.22448121,6.7830086e-05
MZT1,0.2603212,0.26038834,6.714463e-05
CORO1A,0.28335562,0.2834227,6.708503e-05
ILF3,0.29066825,0.2907353,6.7055225e-05
PLEKHF2,0.23482893,0.23489577,6.683171e-05
CBX2,0.272657,0.27272364,6.663799e-05
SAMD9,0.3262596,0.32632574,6.613135e-05
FASN,0.16514926,0.16521521,6.595254e-05
ECE1,0.36735722,0.36742288,6.5654516e-05
FLNB,0.26719943,0.26726496,6.553531e-05
ISG20,0.2514534,0.25151828,6.4879656e-05
HSPD1,0.1286097,0.12867387,6.41644e-05
CTBP1,0.27952138,0.27958468,6.330013e-05
XAF1,0.27481344,0.27487645,6.300211e-05
UQCRQ,0.24209061,0.24215358,6.297231e-05
SQLE,0.23511258,0.2351748,6.222725e-05
ANP32B,0.23856224,0.23862419,6.194413e-05
HIST1H4B,0.26774883,0.2678107,6.186962e-05
RBX1,0.22878712,0.22884893,6.181002e-05
CXCL13,0.27033368,0.27039504,6.136298e-05
CLSTN3,0.23801324,0.23807454,6.130338e-05
SERBP1,0.21804304,0.2181041,6.105006e-05
KRT5,0.40277094,0.4028319,6.097555e-05
PHGDH,0.2835268,0.2835873,6.0498714e-05
IDI1,0.2392389,0.2392993,6.0394406e-05
HNRNPA2B1,0.14769831,0.14775856,6.0245395e-05
SOD1,0.89033526,0.89039445,5.9187412e-05
ATOX1,0.23557264,0.23563172,5.9083104e-05
EIF3M,0.23784886,0.2379077,5.8829784e-05
IFI16,0.3185594,0.3186182,5.8799982e-05
APOL3,0.26494643,0.26500493,5.850196e-05
NDUFS6,0.23301406,0.23307228,5.8218837e-05
IRF9,0.30363914,0.30369717,5.802512e-05
CNIH1,0.24906448,0.24912173,5.725026e-05
MX2,0.2727673,0.27282453,5.722046e-05
COX7B,0.23061804,0.23067518,5.7131052e-05
SLFN5,0.33590075,0.33595785,5.710125e-05
PKIA,0.25297102,0.25302768,5.6654215e-05
COX8A,0.17319992,0.17325586,5.593896e-05
NUDT5,0.21944883,0.21950445,5.5611134e-05
TOP2B,0.2554265,0.25548187,5.5372715e-05
CLDN3,0.24297334,0.24302864,5.529821e-05
TCEA3,0.24095646,0.24101165,5.51939e-05
ZMYM2,0.21937525,0.21943042,5.51641e-05
SLC40A1,0.19836795,0.19842312,5.51641e-05
SP110,0.26684615,0.26690117,5.5015087e-05
RSAD2,0.26437497,0.26442987,5.4895878e-05
NDUFA10,0.21368521,0.21373853,5.3316355e-05
NIPSNAP1,0.2560683,0.2561215,5.3197145e-05
CCL19,0.27084708,0.27089995,5.286932e-05
TMEM86A,0.27019966,0.27025187,5.221367e-05
DDX58,0.26228747,0.26233953,5.2064657e-05
DENR,0.24972095,0.24977297,5.2019954e-05
CAP1,0.26360598,0.26365796,5.197525e-05
BANF1,0.23130006,0.2313519,5.184114e-05
CTSK,0.2726153,0.27266678,5.146861e-05
SF1,0.25034276,0.25039408,5.13196e-05
DGKD,0.26290655,0.2629578,5.1259995e-05
UBL5,0.25518975,0.25524098,5.1230192e-05
