B_cell
IGHG1
IGHD
IGHM
IGHV4-34
TNFRSF17
CD19
FCRL2
FCRL1
FAM177B
IGKC
HLA-DQA1
BLNK
MS4A1
IGHA1
IGHA
IGHE
IGHG2B
IGHG2C
IGHG3
OLFML3
TNFSF4
PLXNA2
HECW2
PCDH12
PODXL
GIMAP8
ANGPT2
ADGRA2
PALD1
MCAM
MGP
LHFP
KCTD12
NID2
VASH1
FLRT2
LINC01197
PECAM1
PTGIS
