T_cell
CD5
CD8A
CD8B
PRF1
GZMM
IL12RB2
CCL4
LCK
CD3E
CD3D
CD3G
GATA3
ICOS
PDCD1
Abcg5
Ccnd2
Cd4
Gzma
Gzmb
Gzmk
Lag3
Trbc1
Trbc2
Trbv1
Trbv12-1
Trbv12-2
Trbv13-3
Trbv14
Trbv19
Trbv26
Trbv29
Trbv3
Trbv4








































