Gene,IG Score Before Training,IG Score After Training,Difference
EMP1,0.2878721,0.2880035,0.00013139844
CCNI,0.12511146,0.12524201,0.00013054907
MX1,0.33795598,0.33808336,0.00012737513
ISG15,0.789699,0.78982526,0.00012624264
IFI44L,0.28888336,0.28900906,0.0001257062
OSBPL9,0.2319841,0.23210798,0.00012388825
CABLES1,0.27618578,0.2763088,0.00012302399
MAP3K3,0.26703754,0.26715982,0.00012227893
APOD,0.24343117,0.24355316,0.00012199581
C1QB,0.26997346,0.27009463,0.00012117624
HYOU1,0.22627053,0.22639151,0.00012098253
SCD,0.086495936,0.08661687,0.000120930374
COL9A1,0.27101076,0.27113056,0.000119805336
MGAT4A,0.24966143,0.2497801,0.00011867285
RNASE1,0.45238867,0.4525053,0.00011661649
PSAP,0.9084497,0.90856606,0.00011634827
IGSF11,0.26848337,0.26859972,0.00011634827
MXD4,0.23605928,0.23617528,0.00011600554
FBXO7,0.21668212,0.21679625,0.00011412799
DAAM2,0.2698994,0.27001336,0.00011396408
SH3BGRL3,0.22620383,0.22631758,0.000113755465
FOXN2,0.2395564,0.2396692,0.00011280179
NCBP2,0.23683493,0.23694748,0.00011254847
PTDSS1,0.23059647,0.23070863,0.00011216104
CRTAP,0.16581984,0.1659319,0.00011205673
LRCH3,0.2484298,0.24854186,0.00011205673
STK32A,0.2770346,0.27714577,0.00011116266
PDCD11,0.2597658,0.25987685,0.00011104345
NUPR1,0.09790597,0.098016955,0.00011098385
RAMP1,0.22990757,0.23001854,0.00011096895
FAIM,0.23655744,0.23666735,0.000109910965
SGK3,0.20977557,0.20988454,0.00010897219
CTSZ,0.35331634,0.35342437,0.00010803342
ZKSCAN8,0.26000953,0.26011717,0.00010764599
SNX25,0.2519147,0.25202233,0.000107616186
PTPRG,0.26702738,0.2671333,0.000105917454
EP300,0.26151872,0.26162443,0.00010570884
PSMB9,0.23011476,0.23021926,0.00010450184
FRG1,0.2549141,0.2550177,0.00010359287
