Gene,SPACER Score Before Training,SPACER Score After Training,Difference
PCCB,-1.0,1.7465884685516357,2.7465884685516357
CREB3L2,-1.0,1.7417758703231812,2.741775870323181
FAM53B,-1.0,1.7392345666885376,2.7392345666885376
WDR11,-1.0,1.7392233610153198,2.73922336101532
TMED1,-1.0,1.7388684749603271,2.738868474960327
PSMA6,-1.0,1.7369126081466675,2.7369126081466675
RNF123,-1.0,1.736832857131958,2.736832857131958
SS18,-1.0,1.7360153198242188,2.7360153198242188
SUSD2,-1.0,1.7359153032302856,2.7359153032302856
SSBP4,-1.0,1.7354284524917603,2.7354284524917603
EPS8L3,-1.0,1.7352278232574463,2.7352278232574463
UBALD2,-1.0,1.7345502376556396,2.7345502376556396
ARF3,-1.0,1.7338186502456665,2.7338186502456665
COQ8A,-1.0,1.7336279153823853,2.7336279153823853
ABCF3,-1.0,1.733446478843689,2.733446478843689
MMGT1,-1.0,1.732640027999878,2.732640027999878
NISCH,-1.0,1.7301162481307983,2.7301162481307983
IDH3G,-1.0,1.7300105094909668,2.730010509490967
NFX1,-1.0,1.7291151285171509,2.729115128517151
SNHG17,-1.0,1.725253939628601,2.725253939628601
KDM1A,-1.0,1.7225589752197266,2.7225589752197266
MED14,-1.0,1.7224208116531372,2.722420811653137
TPRN,-1.0,1.7219980955123901,2.72199809551239
TRAPPC6A,-1.0,1.7205901145935059,2.720590114593506
CERCAM,-1.0,1.7160552740097046,2.7160552740097046
MRPS23,-1.0,1.715263843536377,2.715263843536377
MEIS1,-1.0,1.7122101783752441,2.712210178375244
MUC20,-1.0,1.7112703323364258,2.711270332336426
FCHO2,-1.0,1.7083889245986938,2.708388924598694
TOB2,-1.0,1.7083731889724731,2.708373188972473
P4HTM,-1.0,1.7072198390960693,2.7072198390960693
TMEM208,-1.0,1.7064310312271118,2.706431031227112
HSD17B12,-1.0,1.704533338546753,2.704533338546753
SLC25A38,-1.0,1.7012295722961426,2.7012295722961426
RAB5A,-1.0,1.6987227201461792,2.698722720146179
TBC1D7,-1.0,1.6986907720565796,2.6986907720565796
KPNA2,-1.0,1.698548436164856,2.698548436164856
SLC39A5,-1.0,1.6981799602508545,2.6981799602508545
ARMCX2,-1.0,1.6967793703079224,2.6967793703079224
AJUBA,-1.0,1.696049451828003,2.696049451828003
ADGRG1,-1.0,1.6957488059997559,2.695748805999756
OXTR,-1.0,1.695643663406372,2.695643663406372
MAPK8IP3,-1.0,1.6956044435501099,2.69560444355011
FAM136A,-1.0,1.6952942609786987,2.6952942609786987
ABHD17A,-1.0,1.6945422887802124,2.6945422887802124
TMEM87B,-1.0,1.6943376064300537,2.6943376064300537
TBCD,-1.0,1.6882110834121704,2.6882110834121704
ERP44,-1.0,1.6867969036102295,2.6867969036102295
TRAK1,-1.0,1.684809684753418,2.684809684753418
PCYT2,-1.0,1.684662938117981,2.684662938117981
KLK7,-1.0,1.684548258781433,2.684548258781433
SLC33A1,-1.0,1.683833360671997,2.683833360671997
NES,-1.0,1.683429479598999,2.683429479598999
LYPLA1,-1.0,1.6818840503692627,2.6818840503692627
SAMD1,-1.0,1.680372714996338,2.680372714996338
PSMD6,-1.0,1.6785556077957153,2.6785556077957153
SLC5A6,-1.0,1.6778438091278076,2.6778438091278076
TMPRSS4,-1.0,1.6768367290496826,2.6768367290496826
SZT2,-1.0,1.675355076789856,2.675355076789856
PLEC,-1.0,1.6737315654754639,2.673731565475464
FMOD,-1.0,1.672795295715332,2.672795295715332
TCP1,-1.0,1.6679623126983643,2.6679623126983643
DCAF5,-1.0,1.6644855737686157,2.6644855737686157
STAT6,-1.0,1.664229393005371,2.664229393005371
RALA,-1.0,1.663242220878601,2.663242220878601
UGT8,-1.0,1.6595512628555298,2.65955126285553
WDR83OS,-1.0,1.65892493724823,2.65892493724823
IDS,-1.0,1.6575627326965332,2.657562732696533
ZNF330,-1.0,1.6573185920715332,2.657318592071533
