Gene,SPACER Score Before Training,SPACER Score After Training,Difference
LGR4,-1.0,3.694779634475708,4.694779634475708
SLC5A3,-1.0,3.608938217163086,4.608938217163086
GAS5,-1.0,3.5249216556549072,4.524921655654907
PDCD6,-1.0,3.463073968887329,4.463073968887329
BCR,-1.0,3.4576525688171387,4.457652568817139
HSPBP1,-1.0,3.4550538063049316,4.455053806304932
FCHO1,-1.0,3.4070730209350586,4.407073020935059
PRKX,-1.0,3.401568651199341,4.401568651199341
CTBP1,-1.0,3.3934521675109863,4.393452167510986
PALM3,-1.0,3.3836851119995117,4.383685111999512
FKBP4,-1.0,3.3269541263580322,4.326954126358032
CLCN3,-1.0,3.3111419677734375,4.3111419677734375
NUDT5,-1.0,3.301881790161133,4.301881790161133
TNNT1,-1.0,3.3016037940979004,4.3016037940979
MPG,-1.0,3.2819056510925293,4.281905651092529
SQLE,-1.0,3.2596209049224854,4.259620904922485
RBM5,-1.0,3.2574102878570557,4.257410287857056
HAX1,-1.0,3.256319999694824,4.256319999694824
LRIG1,-1.0,3.2391600608825684,4.239160060882568
PGGHG,-1.0,3.223241090774536,4.223241090774536
ZNF558,-1.0,3.221508026123047,4.221508026123047
SNHG7,-1.0,3.2151975631713867,4.215197563171387
CLIP4,-1.0,3.1840908527374268,4.184090852737427
NRP1,-1.0,3.1739535331726074,4.173953533172607
FLNB,-1.0,3.170423746109009,4.170423746109009
SLC1A5,-1.0,3.167847156524658,4.167847156524658
TRAP1,-1.0,3.15798020362854,4.15798020362854
PIN1,-1.0,3.145930528640747,4.145930528640747
SNHG5,-1.0,3.1377861499786377,4.137786149978638
LSM14A,-1.0,3.1257638931274414,4.125763893127441
SFT2D2,-1.0,3.12186861038208,4.12186861038208
RGL3,-1.0,3.108875036239624,4.108875036239624
CPSF1,-1.0,3.106198787689209,4.106198787689209
PAICS,-1.0,3.1050825119018555,4.1050825119018555
RAPGEF3,-1.0,3.0965936183929443,4.096593618392944
EPCAM,-1.0,3.0964620113372803,4.09646201133728
XPO6,-1.0,3.0932042598724365,4.0932042598724365
C2CD5,-1.0,3.0921103954315186,4.0921103954315186
BMP2K,-1.0,3.062361001968384,4.062361001968384
SH3PXD2A,-1.0,3.0478291511535645,4.0478291511535645
ZNF426,-1.0,3.039703369140625,4.039703369140625
COX16,-1.0,3.0230116844177246,4.023011684417725
TUBB2B,-1.0,3.022094488143921,4.022094488143921
SMARCD2,-1.0,3.004606008529663,4.004606008529663
THOC2,-1.0,2.9980602264404297,3.9980602264404297
ZMYM3,-1.0,2.9950499534606934,3.9950499534606934
ZBTB47,-1.0,2.9883222579956055,3.9883222579956055
ACAD9,-1.0,2.985650062561035,3.985650062561035
DSG2,-1.0,2.9799258708953857,3.9799258708953857
SLC11A2,-1.0,2.9710071086883545,3.9710071086883545
RUVBL2,-1.0,2.9683308601379395,3.9683308601379395
TBC1D16,-1.0,2.963630199432373,3.963630199432373
NOTCH2,-1.0,2.9344356060028076,3.9344356060028076
KRT19,-1.0,2.934152364730835,3.934152364730835
CLMN,-1.0,2.9338109493255615,3.9338109493255615
MUC16,-1.0,2.9324002265930176,3.9324002265930176
UBAC2,-1.0,2.9288182258605957,3.9288182258605957
VTCN1,-1.0,2.9274425506591797,3.9274425506591797
ILVBL,-1.0,2.923820734024048,3.923820734024048
AGAP9,-1.0,2.9236929416656494,3.9236929416656494
TARS,-1.0,2.9184138774871826,3.9184138774871826
TRMT2A,-1.0,2.91802716255188,3.91802716255188
ZNF185,-1.0,2.9086880683898926,3.9086880683898926
TMEM30A,-1.0,2.9086179733276367,3.9086179733276367
ZFPL1,-1.0,2.90736722946167,3.90736722946167
TSEN34,-1.0,2.903662919998169,3.903662919998169
RBM14,-1.0,2.902864456176758,3.902864456176758
METRN,-1.0,2.9000000953674316,3.9000000953674316
FBN3,-1.0,2.888641119003296,3.888641119003296
H3F3B,-1.0,2.88322114944458,3.88322114944458
NONO,-1.0,2.8809969425201416,3.8809969425201416
SHMT2,-1.0,2.8806331157684326,3.8806331157684326
DGCR2,-1.0,2.8794946670532227,3.8794946670532227
TRIB3,-1.0,2.8708488941192627,3.8708488941192627
U2AF2,-1.0,2.8664803504943848,3.8664803504943848
AARS,-1.0,2.865003824234009,3.865003824234009
MYO15B,-1.0,2.8642237186431885,3.8642237186431885
PPP2CB,-1.0,2.8641345500946045,3.8641345500946045
GGH,-1.0,2.8637213706970215,3.8637213706970215
IAH1,-1.0,2.8616561889648438,3.8616561889648438
MYH14,-1.0,2.859670877456665,3.859670877456665
RHOU,-1.0,2.8542821407318115,3.8542821407318115
MKRN1,-1.0,2.8515567779541016,3.8515567779541016
PFKP,-1.0,2.851334810256958,3.851334810256958
RBMS2,-1.0,2.850834846496582,3.850834846496582
H3F3A,-1.0,2.848935127258301,3.848935127258301
LDOC1,-1.0,2.8468966484069824,3.8468966484069824
PITPNB,-1.0,2.8374111652374268,3.8374111652374268
TRIM26,-1.0,2.8323309421539307,3.8323309421539307
TEAD1,-1.0,2.8228580951690674,3.8228580951690674
PSMD14,-1.0,2.8193936347961426,3.8193936347961426
UBE2H,-1.0,2.816859006881714,3.816859006881714
XPO1,-1.0,2.8157033920288086,3.8157033920288086
PPP1R13B,-1.0,2.813969850540161,3.813969850540161
MOB1B,-1.0,2.809884786605835,3.809884786605835
DROSHA,-1.0,2.808326244354248,3.808326244354248
ZC3H14,-1.0,2.805251359939575,3.805251359939575
THSD4,-1.0,2.8022377490997314,3.8022377490997314
PI4KA,-1.0,2.797466278076172,3.797466278076172
FAM3A,-1.0,2.7932887077331543,3.7932887077331543
DTX4,-1.0,2.7863223552703857,3.7863223552703857
PITRM1,-1.0,2.7851216793060303,3.7851216793060303
TUG1,-1.0,2.783588409423828,3.783588409423828
FAT1,-1.0,2.777669668197632,3.777669668197632
IDUA,-1.0,2.777013063430786,3.777013063430786
ACSF2,-1.0,2.773470640182495,3.773470640182495
HOMER2,-1.0,2.767310380935669,3.767310380935669
ACSS3,-1.0,2.764829158782959,3.764829158782959
NUPR1,-1.0,2.763831615447998,3.763831615447998
B3GNT3,-1.0,2.7581701278686523,3.7581701278686523
