Gene,IG Score Before Training,IG Score After Training,Difference
MIR103A1,0.26894143,0.26894143,0.0
FBLL1,0.2388293,0.2388293,0.0
CTB-178M22.2,0.26894143,0.26894143,0.0
HEIH,0.27045178,0.27045178,0.0
LOC644172,0.26894143,0.26894143,0.0
LRRC37A4P,0.26894143,0.26894143,0.0
MIR4315-2,0.26894143,0.26894143,0.0
MIR4315-1,0.26894143,0.26894143,0.0
ARHGAP27,0.24868605,0.24868605,0.0
MIR5089,0.26894143,0.26894143,0.0
RPRML,0.26894143,0.26894143,0.0
MIR1271,0.26894143,0.26894143,0.0
SMIM23,0.26894143,0.26894143,0.0
NPM1,0.30284253,0.30284253,0.0
MIR3912,0.26894143,0.26894143,0.0
KCNMB1,0.2701247,0.2701247,0.0
LINC01366,0.26894143,0.26894143,0.0
C5orf58,0.2572527,0.2572527,0.0
CRHR1,0.26894143,0.26894143,0.0
CRHR1-IT1,0.26894143,0.26894143,0.0
WNT9B,0.26894143,0.26894143,0.0
KIAA1191,0.2592977,0.2592977,0.0
HIGD2A,0.18753633,0.18753633,0.0
LINC01484,0.26894143,0.26894143,0.0
LOC285593,0.26894143,0.26894143,0.0
STC2,0.2494706,0.2494706,0.0
MIR8056,0.26894143,0.26894143,0.0
NKX2-5,0.26889804,0.26889804,0.0
LOC100996385,0.26894143,0.26894143,0.0
MRPL45P2,0.26894143,0.26894143,0.0
THOC3,0.27025187,0.27025187,0.0
LRRC37A,0.26894143,0.26894143,0.0
KANSL1-AS1,0.26892442,0.26892442,0.0
STH,0.26894143,0.26894143,0.0
MAPT-IT1,0.26894143,0.26894143,0.0
SPPL2C,0.26894143,0.26894143,0.0
MRPL10,0.27002767,0.27002767,0.0
TBX21,0.26900625,0.26900625,0.0
FAM153B,0.26894143,0.26894143,0.0
MIR6782,0.26894143,0.26894143,0.0
C5orf60,0.26894143,0.26894143,0.0
LOC101928445,0.26894143,0.26894143,0.0
GFPT2,0.26961854,0.26961854,0.0
RASGEF1C,0.26894143,0.26894143,0.0
MIR340,0.26894143,0.26894143,0.0
C5orf45,0.26894143,0.26894143,0.0
F12,0.2710093,0.2710093,0.0
MIR1229,0.26894143,0.26894143,0.0
ZNF879,0.26971385,0.26971385,0.0
GRM6,0.26894143,0.26894143,0.0
ZNF454,0.26982188,0.26982188,0.0
ZNF354B,0.2616185,0.2616185,0.0
CLK4,0.2554028,0.2554028,0.0
LTC4S,0.27010518,0.27010518,0.0
CBY3,0.26894143,0.26894143,0.0
LOC100996419,0.26894143,0.26894143,0.0
SNORD96A,0.26894143,0.26894143,0.0
LOC102724053,0.26894143,0.26894143,0.0
ASB16-AS1,0.26955816,0.26955816,0.0
LOC105371789,0.26894143,0.26894143,0.0
FAM215A,0.26894143,0.26894143,0.0
MIR4638,0.26894143,0.26894143,0.0
LOC102577426,0.26894143,0.26894143,0.0
C17orf105,0.26894143,0.26894143,0.0
MIR8089,0.26894143,0.26894143,0.0
BTNL9,0.26899976,0.26899976,0.0
RNU2-1,0.26894143,0.26894143,0.0
LINC00854,0.26894143,0.26894143,0.0
PYY,0.26894143,0.26894143,0.0
PPY,0.26894143,0.26894143,0.0
LOC107546764,0.26894143,0.26894143,0.0
CD300LG,0.26894143,0.26894143,0.0
OR2V1,0.26894143,0.26894143,0.0
LOC100268168,0.26894143,0.26894143,0.0
RPL26L1,0.2705485,0.2705485,0.0
LOC101928093,0.26894143,0.26894143,0.0
MIR5003,0.26894143,0.26894143,0.0
C5orf47,0.26894143,0.26894143,0.0
LINC01485,0.26894143,0.26894143,0.0
PFN3,0.26894143,0.26894143,0.0
LOC105377763,0.26894143,0.26894143,0.0
PRR7-AS1,0.26894143,0.26894143,0.0
GMCL1P1,0.26894143,0.26894143,0.0
FAM153C,0.26894143,0.26894143,0.0
N4BP3,0.27112377,0.27112377,0.0
LOC728554,0.26894143,0.26894143,0.0
LOC202181,0.26894143,0.26894143,0.0
MIR4281,0.26894143,0.26894143,0.0
SNCB,0.25874674,0.25874674,0.0
PRR7,0.23508061,0.23508061,0.0
MIR6783,0.26894143,0.26894143,0.0
GFAP,0.26901206,0.26901206,0.0
CCDC103,0.26894143,0.26894143,0.0
FMNL1,0.2590369,0.2590369,0.0
SPATA32,0.26894143,0.26894143,0.0
MAP3K14-AS1,0.2689531,0.2689531,0.0
LOC105371795,0.26894143,0.26894143,0.0
ZNF354C,0.26593596,0.26593596,0.0
CREBRF,0.25201777,0.25201777,0.0
ADAM11,0.26894143,0.26894143,0.0
DBF4B,0.26580825,0.26580825,0.0
MEIOC,0.26894143,0.26894143,0.0
LINC01180,0.26894143,0.26894143,0.0
FZD2,0.27121693,0.27121693,0.0
MIR6784,0.26894143,0.26894143,0.0
C1QL1,0.24904037,0.24904037,0.0
SNORA74B,0.26894143,0.26894143,0.0
HIGD1B,0.26902476,0.26902476,0.0
SPINK6,0.26894143,0.26894143,0.0
SPINK14,0.26894143,0.26894143,0.0
C5orf46,0.2699635,0.2699635,0.0
SCGB3A2,0.34415486,0.34415486,0.0
SPINK1,0.22257179,0.22257179,0.0
