Epoch,Train Loss,Val Loss,Val AUROC
1,0.7013809865696005,0.7382975252786208,0.5107278552291534
2,0.6982249695057969,0.7091761804432384,0.5127290940560021
3,0.6985336848787712,0.694261131929466,0.5135174384143018
4,0.6988094125426304,0.6987531945172853,0.513152903241103
5,0.6987318740800291,0.6936643446500317,0.5118199788984518
6,0.6977915731259906,0.7072652123609985,0.5114169156175168
7,0.697608118112017,0.7052103705835719,0.5107345235554923
8,0.6962748427314505,0.7010579135856175,0.5106841406453755
9,0.6950598796613221,0.7156154738645037,0.5098861642601418
10,0.695041358844321,0.6969578944903935,0.5091593166891908
